country,id,year,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Latin America & Caribbean,LCN,2020,98.15275945,95.8723821,99.57945761,,-6.649245673,16.50161123,0.993337023,73.03846951,0.811906397,650.533026,-0.484121081,10.21268428,1.118272849
Latin America & Caribbean,LCN,2021,98.27434537,96.49527331,99.55648839,,6.996791927,18.56153322,3.495057574,72.14845507,0.683384828,654.97867,-0.610393996,9.167557159,0.984372491
Latin America & Caribbean,LCN,2022,98.5791345,96.7652091,99.62925233,,3.987930947,20.726864861159697,7.780615252,73.75256853,0.660824268,659.306928,-0.658922181,6.905458104,0.9629161
Latin America & Caribbean (excluding high income),LAC,2019,97.85321104,90.8403219,99.55927064,,0.665471963,16.501521515722498,2.174084133,74.96199687,1.054611453,582.701622,-0.32989407,8.128513246,1.397501212
Latin America & Caribbean (excluding high income),LAC,2020,98.00600175,95.77564319,99.5347088,,-6.542686148,15.85020204,2.002412058,72.83630332,0.911196365,588.011178,-0.481438923,10.27338233,1.250223833
Latin America & Caribbean (excluding high income),LAC,2021,98.13654482,96.29325272,99.50958559,,6.814466462,17.792028166266597,4.261051274,71.90735614,0.763974592,592.503434,-0.627720026,9.238851735,1.096978656
Latin America & Caribbean (excluding high income),LAC,2022,98.47624554,96.53557622,99.59547978,,3.877052645,19.86083323,8.274774902,73.61244588,0.690885616,596.596955,-0.703642167,6.887760495,1.018875036
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,97.95594173,91.14264159,99.59202207,,0.717567356,17.09002637,2.091638622,74.97284058,0.909243764,629.795751,-0.355256291,8.133460188,1.212674586
Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,98.10927883,95.77286348,99.5691852,,-6.566986284,16.423948691551598,1.380426473,72.92992868,0.820159074,634.961078,-0.489108137,10.3689262,1.129465274
Latin America & the Caribbean (IDA & IBRD countries),TLA,2021,98.23249385,96.40415384,99.5457971,,7.200832128,18.476432186636497,3.878054424,72.07731937,0.710093446,639.469895,-0.605752596,9.301457639,1.015978544
Latin America & the Caribbean (IDA & IBRD countries),TLA,2022,98.54512508,96.68232354,99.62044542,,4.007587993,20.62719479,7.838445722,73.64381042,0.690337111,643.884393,-0.652941136,7.002290027,0.997586054
Latvia,LVA,2019,100,100,100,-1025.449977,0.587502383,33.29450779,2.811409201,75.38780488,-0.69523914,1.913822,-0.946712544,6.312,-0.57788598
Latvia,LVA,2020,100,100,100,-752.3293292,-3.513802842,33.73306513,0.219064905,75.18536585,-0.701211571,1.900449,-0.994281658,8.098,-0.56499148
Latvia,LVA,2021,100,100,100,-1026.38726,6.731735278,36.77789285,3.275829374,72.9804878,-0.843294678,1.88449,-1.178370884,7.513,-0.688264283
Latvia,LVA,2022,100,100,100,-1317.492894,2.954731771,41.10652707,17.31028302,74.5804878,-0.271369578,1.879383,-0.64887947,6.815,-0.097613369
Least developed countries: UN classification,LDC,2019,52.95146482,41.30203619,77.55149482,,5.006065947,3.400881841,3.32090627,65.15100499,2.41455322,1047.426093,1.58170381,4.96337679,4.057615276
Least developed countries: UN classification,LDC,2020,54.56250733,42.3190097,78.74400521,,-0.06707583,3.438598783,4.464144372,64.62972154,2.438821333,1072.970944,1.597208533,5.744228766,4.059666163
Least developed countries: UN classification,LDC,2021,56.2251694,43.87331031,80.26755388,,2.772175535,3.645870218,4.186215065,64.21049049,2.40641521,1098.79108,1.551986798,5.827431181,4.0130018
Least developed countries: UN classification,LDC,2022,56.82640128,45.17597607,80.73416055,,4.630417956,4.000273452,9.573371186,64.92257858,2.330371939,1124.396999,1.456174066,5.251295247,3.935238749
Lebanon,LBN,2019,100,99.6,100,-1567.351398,-6.914924729,21.758103252500202,3.005389494,79.236,-2.879865896,5.781907,-4.336877165,11.301,-2.69379833
Lebanon,LBN,2020,100,99.8,100,-1577.981266,-21.39989969,16.37304799,84.86433305,77.804,-2.079336906,5.662923,-3.575939801,13.235,-1.891366858
Lebanon,LBN,2021,100,100,100,-1938.565216,-7.001238625,11.86005863,154.756096,75.047,-1.249035167,5.592631,-2.777675695,12.621,-1.060279355
Lebanon,LBN,2022,100,100,100,-460.6867771,-0.621678971,12.85266602,171.2054913,74.416,-1.856912493,5.489739,-3.418492131,11.599,-1.667404485
Lesotho,LSO,2019,44.6,32.6,74.4,-35.73259341,-1.417993831,2.549535277,5.187083592,54.173,1.251678122,2.225702,0.648597563,16.876,2.774465325
